Código,Nombre,Código de Barras,SKU,Servicio,Uses,Costo,Precio,IVA,IEPS,SAT code,Proveedor,Categorías,AppliesTo
244,Plug para UTP con gel RJ 45 8 pos categoría 6 diámetro 1.2,"[""SBE-PLUGC6GEL""]",SBE-PLUGC6GEL,TRUE,No,,0.63,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
245,Plug RJ 11 6 posiciones,"[""SBE-PLUGRJ25""]",SBE-PLUGRJ25,TRUE,No,,0.08,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
246,Plug RJ 11 6 posiciones. 4 hilos,"[""SBE-PLUGRJ11""]",SBE-PLUGRJ11,TRUE,No,,0.09,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
247,Plug RJ 45 8 posiciones 50 micras de oro,"[""SBE-2401-8P8C""]",SBE-2401-8P8C,TRUE,No,,0.15,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
248,Plug RJ 45 8 posiciones categoría 6,"[""SBE-PLUGRJ45C6""]",SBE-PLUGRJ45C6,TRUE,No,,0.24,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
249,Plug RJ 45 8 posiciones categoría 6A,"[""SBE-PLUGRJ45C6A""]",SBE-PLUGRJ45C6A,TRUE,No,,0.36,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
250,Quadra Rack en acero de 22 ur.,"[""SBE-QR22UR""]",SBE-QR22UR,TRUE,No,,83.50,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
251,Quadra Rack en acero de 42 ur.,"[""SBE-QR42UR""]",SBE-QR42UR,TRUE,No,,150.35,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
252,"""Rack acero 4' x 19"""" ligero color negro""","[""SBE-RR419NM""]",SBE-RR419NM,TRUE,No,,59.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
253,"""Rack acero 7' x 19"""" ligero color negro""","[""SBE-RR719NM""]",SBE-RR719NM,TRUE,No,,59.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
254,"""Rack de pared 15 UR x 19"""" ancho x 17 """" prof.. negro""","[""SBE-RP1915UR""]",SBE-RP1915UR,TRUE,No,,35.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
255,"""Rack de pared 2 UR (3.5"""") alto x 19"""" ancho x 4"""" prof.. negro""","[""SBE-HB2""]",SBE-HB2,TRUE,No,,9.73,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
256,"""Rack de pared 4 UR (4"""") x 19"""" ancho x 12"""" prof.. negro""","[""SBE-HB4""]",SBE-HB4,TRUE,No,,14.70,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
257,"""Rack de pared 7 UR (4"""") x 19"""" ancho x 12"""" prof.. negro""","[""SBE-HB-7""]",SBE-HB-7,TRUE,No,,32.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
258,Splitter PLC 1x16 SC/APC Monomodo,"[""SBE-SPPLC1X16SCAPC""]",SBE-SPPLC1X16SCAPC,TRUE,No,,38.33,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
259,Splitter PLC 1x2 SC/APC Monomodo,"[""SBE-SPPLC1X2SCAPC""]",SBE-SPPLC1X2SCAPC,TRUE,No,,14.28,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
260,Splitter PLC 1x32 SC/APC Monomodo,"[""SBE-SPPLC1X32SCAPC""]",SBE-SPPLC1X32SCAPC,TRUE,No,,55.65,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
